COST_ID,COST_CODE,VENDOR,CONTRACT,LINK_TYPE,BUCKET,MIN_CAPACITY,MAX_CAPACITY,UNIT_COST_PER_MBPS_MONTHLY,MINSLAB,LOCKIN_MONTHS,REMARKS,EFFECTIVE_START_TIME,EFFECTIVE_END_TIME,IS_CURRENT,CREATED_BY
1001,SCL*Robi-LP-001855-1*BH*2,SCL,Robi-LP-001855-1,BH,2,1,100,30,70000,1,No per mbps rate,9/12/2024,1/1/1970,1,NA
1002,SCL*Robi-LP-001855-6*MBH*1,SCL,Robi-LP-001855-6,MBH,1,1,100000,60,0,24,NA,9/12/2024,1/1/1970,1,NA
1003,SCL*Robi-LP-001855-7*MBH*1,SCL,Robi-LP-001855-7,MBH,1,10000,20000,78.26,0,12,NA,9/12/2024,1/1/1970,1,NA
1004,SCL*Robi-LP-001855-7*MBH*2,SCL,Robi-LP-001855-7,MBH,2,10000,20000,78.26,0,24,NA,9/12/2024,1/1/1970,1,NA
1005,SCL*Robi-LP-001855-3*MBH*1,SCL,Robi-LP-001855-3,MBH,1,10000,100000,60,0,24,NA,9/12/2024,1/1/1970,1,NA
1006,FHL*ROBI-TH-LP-230030*BH*3,FHL,ROBI-TH-LP-230030,BH,3,1,1000,207,0,36,Regular Price,9/12/2024,1/1/1970,1,NA
1007,FHL*ROBI-TH-LP-230030*BH*2,FHL,ROBI-TH-LP-230030,BH,2,2501,10000,98,0,36,Regular Price,9/12/2024,1/1/1970,1,NA
1008,FHL*ROBI-TH-LP-230030*LM*2,FHL,ROBI-TH-LP-230030,LM,2,101,10000,88,0,36,Regular Price,9/12/2024,1/1/1970,1,NA
1009,FHL*ROBI-TH-LP-230030*LM*3,FHL,ROBI-TH-LP-230030,LM,3,101,10000,117,0,36,3 Path Protection,9/12/2024,1/1/1970,1,NA
1010,FHL*ROBI-TH-LP-230030*BH*1,FHL,ROBI-TH-LP-230030,BH,1,1,1000,165,0,1,NA,9/12/2024,1/1/1970,1,NA
1011,FHL*ROBI-TH-LP-230030*LM*1,FHL,ROBI-TH-LP-230030,LM,1,101,10000,86,0,1,NA,9/12/2024,1/1/1970,1,NA
1012,FHL*Robi-LP-001358-5*BH*1,FHL,Robi-LP-001358-5,BH,1,1,1000,165,0,48,NA,9/12/2024,1/1/1970,1,NA
1013,FHL*Robi-LP-001358-5*BH*2,FHL,Robi-LP-001358-5,BH,2,1,1000,209,0,48,NA,9/12/2024,1/1/1970,1,NA
1014,FHL*Robi-LP-001358-5*BH*3,FHL,Robi-LP-001358-5,BH,3,1,1000,800,0,48,NA,9/12/2024,1/1/1970,1,NA
1015,FHL*Robi-LP-001358-5*LM*1,FHL,Robi-LP-001358-5,LM,1,100,10000,75,0,48,NA,9/12/2024,1/1/1970,1,NA
1016,FHL*Robi-LP-001358-5*LM*2,FHL,Robi-LP-001358-5,LM,2,100,10000,86,0,48,NA,9/12/2024,1/1/1970,1,NA
1017,FHL*Robi-LP-001358-5*LM*3,FHL,Robi-LP-001358-5,LM,3,100,10000,800,0,48,NA,9/12/2024,1/1/1970,1,NA
1018,SCL*Robi-LP-001855-4*BH*1,SCL,Robi-LP-001855-4,BH,1,1,1000,191,0,48,NA,9/12/2024,1/1/1970,1,NA
1019,SCL*Robi-LP-001855-4*BH*2,SCL,Robi-LP-001855-4,BH,2,1,1000,218,0,48,NA,9/12/2024,1/1/1970,1,NA
1020,SCL*Robi-LP-001855-4*LM*1,SCL,Robi-LP-001855-4,LM,1,100,10000,87,15653,48,NA,9/12/2024,1/1/1970,1,NA
1021,SCL*Robi-LP-001091-3*BH*1,SCL,Robi-LP-001091-3,BH,1,1,2500,218,0,24,NA,9/12/2024,1/1/1970,1,NA
1022,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,1,10000,86,0,24,Metro,9/12/2024,1/1/1970,1,NA
1023,FHL*Robi-LP-001090-3*LM*1,FHL,Robi-LP-001090-3,LM,1,100,10000,117.3913043,0,24,Metro,9/12/2024,1/1/1970,1,NA
1024,FHL*Robi-LP-001090-3*LM*2,FHL,Robi-LP-001090-3,LM,2,100,10000,117.3913043,0,24,Rural,9/12/2024,1/1/1970,1,NA
1025,FHL*Robi-LP-001090-3*BH*3,FHL,Robi-LP-001090-3,BH,3,1,1700,209.5652174,0,24,NA,9/12/2024,1/1/1970,1,NA
1026,SCL*Robi-LP-001855-1*BH*1,SCL,Robi-LP-001855-1,BH,1,1,2500,218,0,24,NA,9/12/2024,1/1/1970,1,NA
1027,FHL*Robi-LP-001358-3*BH*1,FHL,Robi-LP-001358-3,BH,1,1,1000,209.5652174,0,24,NA,9/12/2024,1/1/1970,1,NA
1028,SCL*Robi-LP-001855-7-1*LM*1,SCL,Robi-LP-001855-7-1,LM,1,1,10000,81,0,48,NA,9/12/2024,1/1/1970,1,NA
1029,SCL*Robi-LP-001855-7-1*LM*2,SCL,Robi-LP-001855-7-1,LM,2,1,10000,213,0,24,NA,9/12/2024,1/1/1970,1,NA
1030,SCL*Robi-LP-001855-7-1*BH*1,SCL,Robi-LP-001855-7-1,BH,1,1,1000,87,0,12,NA,9/12/2024,1/1/1970,1,NA
1031,FHL*ROBI-TH-LP-230030-1*LM*1,FHL,ROBI-TH-LP-230030-1,LM,1,1,10000,86,0,12,NA,9/12/2024,1/1/1970,1,NA
1032,SCL*Robi-LP-001855-1*LM*1,SCL,Robi-LP-001855-1,LM,1,1,10000,86,0,1,NA,9/13/2024,1/1/1970,2,NA
1033,SCL*Robi-LP-001855-1*LM*2,SCL,Robi-LP-001855-1,LM,2,1,10000,118,0,1,NA,9/14/2024,1/1/1970,3,NA
